"Date","Volts(V)","Current(A)","Temperature(°C)","State Of Charge(%)"
"2021-08-14 00:00:00",52.56,-2.236,28,66
"2021-08-14 00:01:00",52.56,-2.248,28,66
"2021-08-14 00:02:00",52.56,-2.233,28,66
"2021-08-14 00:03:00",52.56,-2.252,28,66
"2021-08-14 00:04:00",52.56,-2.255,28,66
"2021-08-14 00:05:00",52.544,-2.254,28,65
"2021-08-14 00:06:00",52.528,-2.244,28,65
"2021-08-14 00:07:00",52.512,-2.244,27,65
"2021-08-14 00:08:00",52.528,-2.243,27,65
"2021-08-14 00:09:00",52.528,-2.224,27,65
"2021-08-14 00:10:00",52.528,-2.238,27,65
"2021-08-14 00:11:00",52.528,-2.249,27,65
"2021-08-14 00:12:00",52.528,-2.245,27,65
"2021-08-14 00:13:00",52.512,-2.266,27,65
"2021-08-14 00:14:00",52.496,-2.241,27,65
"2021-08-14 00:15:00",52.496,-2.281,27,65
"2021-08-14 00:16:00",52.496,-2.234,27,65
"2021-08-14 00:17:00",52.496,-2.235,27,65
"2021-08-14 00:18:00",52.496,-2.236,27,65
"2021-08-14 00:19:00",52.496,-2.243,27,65
"2021-08-14 00:20:00",52.496,-2.248,27,64
"2021-08-14 00:21:00",52.48,-2.243,27,64
"2021-08-14 00:22:00",52.464,-2.249,27,64
"2021-08-14 00:23:00",52.464,-2.225,27,64
"2021-08-14 00:24:00",52.464,-2.215,27,64
"2021-08-14 00:25:00",52.464,-2.221,27,64
"2021-08-14 00:26:00",52.464,-2.23,27,64
"2021-08-14 00:27:00",52.464,-2.236,27,64
"2021-08-14 00:28:00",52.464,-2.24,27,64
"2021-08-14 00:29:00",52.448,-2.247,27,64
"2021-08-14 00:30:00",52.432,-2.241,27,64
"2021-08-14 00:31:00",52.432,-2.218,27,64
"2021-08-14 00:32:00",52.432,-2.226,27,64
"2021-08-14 00:33:00",52.432,-2.228,27,64
"2021-08-14 00:34:00",52.432,-2.231,27,64
"2021-08-14 00:35:00",52.432,-2.236,27,64
"2021-08-14 00:36:00",52.432,-2.249,27,63
"2021-08-14 00:37:00",52.416,-2.236,27,63
"2021-08-14 00:38:00",52.416,-2.227,27,63
"2021-08-14 00:39:00",52.416,-2.219,27,63
"2021-08-14 00:40:00",52.416,-2.218,27,63
"2021-08-14 00:41:00",52.416,-2.219,27,63
"2021-08-14 00:42:00",52.416,-2.234,27,63
"2021-08-14 00:43:00",52.416,-2.247,27,63
"2021-08-14 00:44:00",52.4,-2.244,27,63
"2021-08-14 00:45:00",52.4,-2.233,27,63
"2021-08-14 00:46:00",52.4,-2.222,27,63
"2021-08-14 00:47:00",52.4,-2.211,27,63
"2021-08-14 00:48:00",52.4,-2.209,27,63
"2021-08-14 00:49:00",52.4,-2.211,27,63
"2021-08-14 00:50:00",52.4,-2.232,27,63
"2021-08-14 00:51:00",52.4,-2.228,27,62
"2021-08-14 00:52:00",52.4,-2.224,27,62
"2021-08-14 00:53:00",52.384,-2.222,27,62
"2021-08-14 00:54:00",52.384,-2.215,27,62
"2021-08-14 00:55:00",52.384,-2.217,27,62
"2021-08-14 00:56:00",52.384,-2.204,27,62
"2021-08-14 00:57:00",52.368,-2.218,27,62
"2021-08-14 00:58:00",52.368,-2.221,27,62
"2021-08-14 00:59:00",52.368,-2.224,27,62
"2021-08-14 01:00:00",52.368,-2.221,27,62
"2021-08-14 01:01:00",52.368,-2.219,27,62
"2021-08-14 01:02:00",52.368,-2.214,27,62
"2021-08-14 01:03:00",52.368,-2.207,27,62
"2021-08-14 01:04:00",52.368,-2.212,27,62
"2021-08-14 01:05:00",52.368,-2.226,27,62
"2021-08-14 01:06:00",52.368,-2.223,27,61
"2021-08-14 01:07:00",52.368,-2.225,27,61
"2021-08-14 01:08:00",52.368,-2.232,27,61
"2021-08-14 01:09:00",52.352,-2.218,27,61
"2021-08-14 01:10:00",52.352,-2.215,27,61
"2021-08-14 01:11:00",52.352,-2.195,27,61
"2021-08-14 01:12:00",52.352,-2.219,27,61
"2021-08-14 01:13:00",52.368,-2.207,27,61
"2021-08-14 01:14:00",52.368,-2.253,27,61
"2021-08-14 01:15:00",52.352,-2.215,27,61
"2021-08-14 01:16:00",52.352,-2.239,27,61
"2021-08-14 01:17:00",52.352,-2.202,27,61
"2021-08-14 01:18:00",52.352,-2.202,27,61
"2021-08-14 01:19:00",52.352,-2.206,27,61
"2021-08-14 01:20:00",52.336,-2.192,27,61
"2021-08-14 01:21:00",52.336,-2.204,27,60
"2021-08-14 01:22:00",52.336,-2.206,27,60
"2021-08-14 01:23:00",52.336,-2.215,27,60
"2021-08-14 01:24:00",52.336,-2.207,27,60
"2021-08-14 01:25:00",52.336,-2.199,27,60
"2021-08-14 01:26:00",52.336,-2.204,27,60
"2021-08-14 01:27:00",52.336,-2.192,27,60
"2021-08-14 01:28:00",52.336,-2.19,27,60
"2021-08-14 01:29:00",52.336,-2.197,27,60
"2021-08-14 01:30:00",52.336,-2.202,27,60
"2021-08-14 01:31:00",52.336,-2.211,27,60
"2021-08-14 01:32:00",52.32,-2.199,27,60
"2021-08-14 01:33:00",52.32,-2.2,27,60
"2021-08-14 01:34:00",52.32,-2.177,27,60
"2021-08-14 01:35:00",52.32,-2.183,27,59
"2021-08-14 01:36:00",52.32,-2.183,27,59
"2021-08-14 01:37:00",52.32,-2.196,27,59
"2021-08-14 01:38:00",52.32,-2.202,27,59
"2021-08-14 01:39:00",52.032,-9.005,27,59
"2021-08-14 01:40:00",51.808,-9.016,27,59
"2021-08-14 01:41:00",51.76,-8.948,26,59
"2021-08-14 01:42:00",51.776,-8.913,26,58
"2021-08-14 01:43:00",51.824,-8.872,26,58
"2021-08-14 01:44:00",51.92,-8.846,26,58
"2021-08-14 01:45:00",51.952,-8.874,26,58
"2021-08-14 01:46:00",51.952,-8.912,26,57
"2021-08-14 01:47:00",51.872,-8.911,26,57
"2021-08-14 01:48:00",51.792,-8.893,26,57
"2021-08-14 01:49:00",51.792,-8.875,26,56
"2021-08-14 01:50:00",51.808,-8.822,26,56
"2021-08-14 01:51:00",51.888,-8.798,26,56
"2021-08-14 01:52:00",51.968,-8.827,26,56
"2021-08-14 01:53:00",51.968,-8.863,26,55
"2021-08-14 01:54:00",51.968,-8.89,26,55
"2021-08-14 01:55:00",51.872,-8.899,26,55
"2021-08-14 01:56:00",51.824,-8.891,26,55
"2021-08-14 01:57:00",51.808,-8.841,26,54
"2021-08-14 01:58:00",51.824,-8.809,26,54
"2021-08-14 01:59:00",51.92,-8.813,26,54
"2021-08-14 02:00:00",51.984,-8.813,26,53
"2021-08-14 02:01:00",51.984,-8.863,26,53
"2021-08-14 02:02:00",51.936,-8.908,26,53
"2021-08-14 02:03:00",51.872,-8.898,26,53
"2021-08-14 02:04:00",51.808,-8.869,26,52
"2021-08-14 02:05:00",51.808,-8.847,26,52
"2021-08-14 02:06:00",51.824,-8.815,26,52
"2021-08-14 02:07:00",51.92,-8.8,26,52
"2021-08-14 02:08:00",51.968,-8.834,26,51
"2021-08-14 02:09:00",51.984,-8.891,26,51
"2021-08-14 02:10:00",52.192,-0.832,26,51
"2021-08-14 02:11:00",52.256,-0.841,26,51
"2021-08-14 02:12:00",52.288,-0.823,26,51
"2021-08-14 02:13:00",52.32,-0.86,26,51
"2021-08-14 02:14:00",52.352,-0.82,26,51
"2021-08-14 02:15:00",52.272,-2.641,26,51
"2021-08-14 02:16:00",52.288,-2.294,26,51
"2021-08-14 02:17:00",52.288,-2.292,26,51
"2021-08-14 02:18:00",52.288,-2.312,26,50
"2021-08-14 02:19:00",52.288,-2.309,26,50
"2021-08-14 02:20:00",52.288,-2.309,26,50
"2021-08-14 02:21:00",52.288,-2.301,26,50
"2021-08-14 02:22:00",52.288,-2.311,26,50
"2021-08-14 02:23:00",52.288,-2.321,26,50
"2021-08-14 02:24:00",52.304,-2.325,26,50
"2021-08-14 02:25:00",52.288,-2.321,26,50
"2021-08-14 02:26:00",52.288,-2.322,26,50
"2021-08-14 02:27:00",52.288,-2.325,26,50
"2021-08-14 02:28:00",52.288,-2.307,26,50
"2021-08-14 02:29:00",52.288,-2.31,26,50
"2021-08-14 02:30:00",52.288,-2.314,26,50
"2021-08-14 02:31:00",52.288,-2.316,26,50
"2021-08-14 02:32:00",52.288,-2.336,26,49
"2021-08-14 02:33:00",52.288,-2.34,26,49
"2021-08-14 02:34:00",52.288,-2.349,26,49
"2021-08-14 02:35:00",52.288,-2.34,26,49
"2021-08-14 02:36:00",52.288,-2.335,26,49
"2021-08-14 02:37:00",52.288,-2.335,26,49
"2021-08-14 02:38:00",52.304,-2.338,26,49
"2021-08-14 02:39:00",52.304,-2.335,26,48
"2021-08-14 02:40:00",52.304,-2.345,26,48
"2021-08-14 02:41:00",52.288,-2.351,26,48
"2021-08-14 02:42:00",52.288,-2.357,26,48
"2021-08-14 02:43:00",52.288,-2.354,26,48
"2021-08-14 02:44:00",52.288,-2.363,26,48
"2021-08-14 02:45:00",52.288,-2.346,26,48
"2021-08-14 02:46:00",52.288,-2.346,26,48
"2021-08-14 02:47:00",52.288,-2.358,26,48
"2021-08-14 02:48:00",52.288,-2.37,26,48
"2021-08-14 02:49:00",52.288,-2.352,26,48
"2021-08-14 02:50:00",52.288,-2.366,26,48
"2021-08-14 02:51:00",52.288,-2.351,26,48
"2021-08-14 02:52:00",52.288,-2.339,26,48
"2021-08-14 02:53:00",52.288,-2.33,26,47
"2021-08-14 02:54:00",52.288,-2.326,26,47
"2021-08-14 02:55:00",52.288,-2.342,26,47
"2021-08-14 02:56:00",52.288,-2.347,26,47
"2021-08-14 02:57:00",52.288,-2.337,26,47
"2021-08-14 02:58:00",52.288,-2.353,26,47
"2021-08-14 02:59:00",52.288,-2.331,26,47
"2021-08-14 03:00:00",52.288,-2.316,26,47
"2021-08-14 03:01:00",52.288,-2.304,26,47
"2021-08-14 03:02:00",52.288,-2.304,26,47
"2021-08-14 03:03:00",52.288,-2.326,26,47
"2021-08-14 03:04:00",52.288,-2.33,26,47
"2021-08-14 03:05:00",52.288,-2.345,26,47
"2021-08-14 03:06:00",52.288,-2.32,26,47
"2021-08-14 03:07:00",52.288,-2.316,26,46
"2021-08-14 03:08:00",52.288,-2.307,25,46
"2021-08-14 03:09:00",52.288,-2.288,25,46
"2021-08-14 03:10:00",52.288,-2.313,25,46
"2021-08-14 03:11:00",52.288,-2.32,25,46
"2021-08-14 03:12:00",52.288,-2.372,25,46
"2021-08-14 03:13:00",52.288,-2.326,25,46
"2021-08-14 03:14:00",52.288,-2.333,25,46
"2021-08-14 03:15:00",52.288,-2.301,25,46
"2021-08-14 03:16:00",52.288,-2.29,25,46
"2021-08-14 03:17:00",52.288,-2.291,25,46
"2021-08-14 03:18:00",52.288,-2.291,25,46
"2021-08-14 03:19:00",52.288,-2.318,25,46
"2021-08-14 03:20:00",52.288,-2.313,25,45
"2021-08-14 03:21:00",52.288,-2.308,25,45
"2021-08-14 03:22:00",52.288,-2.288,25,45
"2021-08-14 03:23:00",52.288,-2.283,25,45
"2021-08-14 03:24:00",52.288,-2.27,25,45
"2021-08-14 03:25:00",52.288,-2.267,25,45
"2021-08-14 03:26:00",52.288,-2.294,25,45
"2021-08-14 03:27:00",52.288,-2.307,25,45
"2021-08-14 03:28:00",52.288,-2.298,25,45
"2021-08-14 03:29:00",52.288,-2.297,25,45
"2021-08-14 03:30:00",52.288,-2.289,25,45
"2021-08-14 03:31:00",52.288,-2.287,25,45
"2021-08-14 03:32:00",52.288,-2.264,25,45
"2021-08-14 03:33:00",52.288,-2.271,25,45
"2021-08-14 03:34:00",52.288,-2.286,25,44
"2021-08-14 03:35:00",52.288,-2.281,25,44
"2021-08-14 03:36:00",52.288,-2.282,25,44
"2021-08-14 03:37:00",52.288,-2.277,25,44
"2021-08-14 03:38:00",52.288,-2.262,25,44
"2021-08-14 03:39:00",52.288,-2.257,25,44
"2021-08-14 03:40:00",52.288,-2.243,25,44
"2021-08-14 03:41:00",52.288,-2.279,25,44
"2021-08-14 03:42:00",52.288,-2.276,25,44
"2021-08-14 03:43:00",52.288,-2.273,25,44
"2021-08-14 03:44:00",52.288,-2.281,25,44
"2021-08-14 03:45:00",52.288,-2.272,25,44
"2021-08-14 03:46:00",52.288,-2.26,25,44
"2021-08-14 03:47:00",52.288,-2.255,25,44
"2021-08-14 03:48:00",52.288,-2.257,25,43
"2021-08-14 03:49:00",52.288,-2.254,25,43
"2021-08-14 03:50:00",52.288,-2.262,25,43
"2021-08-14 03:51:00",52.288,-2.264,25,43
"2021-08-14 03:52:00",52.288,-2.262,25,43
"2021-08-14 03:53:00",52.288,-2.257,25,43
"2021-08-14 03:54:00",52.288,-2.246,25,43
"2021-08-14 03:55:00",52.288,-2.25,25,43
"2021-08-14 03:56:00",52.288,-2.24,25,43
"2021-08-14 03:57:00",52.288,-2.241,25,43
"2021-08-14 03:58:00",52.288,-2.258,25,43
"2021-08-14 03:59:00",52.288,-2.256,25,43
"2021-08-14 04:00:00",52.272,-2.253,25,43
"2021-08-14 04:01:00",52.272,-2.253,25,43
"2021-08-14 04:02:00",52.272,-2.247,25,43
"2021-08-14 04:03:00",52.272,-2.232,25,42
"2021-08-14 04:04:00",52.272,-2.242,25,42
"2021-08-14 04:05:00",52.272,-2.241,25,42
"2021-08-14 04:06:00",52.272,-2.248,25,42
"2021-08-14 04:07:00",52.256,-2.258,25,42
"2021-08-14 04:08:00",52.256,-2.244,25,42
"2021-08-14 04:09:00",52.24,-2.257,25,42
"2021-08-14 04:10:00",52.24,-2.23,25,42
"2021-08-14 04:11:00",52.256,-2.258,25,42
"2021-08-14 04:12:00",52.256,-2.228,25,42
"2021-08-14 04:13:00",52.256,-2.278,25,42
"2021-08-14 04:14:00",52.256,-2.244,25,42
"2021-08-14 04:15:00",52.256,-2.248,25,42
"2021-08-14 04:16:00",52.256,-2.261,25,41
"2021-08-14 04:17:00",52.256,-2.238,25,41
"2021-08-14 04:18:00",52.256,-2.216,25,41
"2021-08-14 04:19:00",52.256,-2.223,25,41
"2021-08-14 04:20:00",52.256,-2.229,25,41
"2021-08-14 04:21:00",52.256,-2.232,25,41
"2021-08-14 04:22:00",52.256,-2.241,25,41
"2021-08-14 04:23:00",52.256,-2.254,25,41
"2021-08-14 04:24:00",52.24,-2.231,25,41
"2021-08-14 04:25:00",52.24,-2.229,25,41
"2021-08-14 04:26:00",52.24,-2.215,25,41
"2021-08-14 04:27:00",52.24,-2.219,25,41
"2021-08-14 04:28:00",52.24,-2.227,25,41
"2021-08-14 04:29:00",52.24,-2.242,25,41
"2021-08-14 04:30:00",52.24,-2.247,25,40
"2021-08-14 04:31:00",52.24,-2.228,25,40
"2021-08-14 04:32:00",52.24,-2.222,25,40
"2021-08-14 04:33:00",52.24,-2.22,25,40
"2021-08-14 04:34:00",52.24,-2.211,25,40
"2021-08-14 04:35:00",52.24,-2.216,25,40
"2021-08-14 04:36:00",52.24,-2.227,25,40
"2021-08-14 04:37:00",52.24,-2.247,25,40
"2021-08-14 04:38:00",52.24,-2.235,25,40
"2021-08-14 04:39:00",52.24,-2.228,25,40
"2021-08-14 04:40:00",52.224,-2.23,25,40
"2021-08-14 04:41:00",52.24,-2.215,25,40
"2021-08-14 04:42:00",52.24,-2.211,25,40
"2021-08-14 04:43:00",52.24,-2.214,25,40
"2021-08-14 04:44:00",52.24,-2.237,25,39
"2021-08-14 04:45:00",52.24,-2.228,24,39
"2021-08-14 04:46:00",52.24,-2.231,25,39
"2021-08-14 04:47:00",52.224,-2.215,24,39
"2021-08-14 04:48:00",52.224,-2.218,24,39
"2021-08-14 04:49:00",52.224,-2.2,24,39
"2021-08-14 04:50:00",52.224,-2.212,24,39
"2021-08-14 04:51:00",52.224,-2.221,24,39
"2021-08-14 04:52:00",52.224,-2.225,24,39
"2021-08-14 04:53:00",52.224,-2.234,24,39
"2021-08-14 04:54:00",52.224,-2.219,24,39
"2021-08-14 04:55:00",52.224,-2.21,24,39
"2021-08-14 04:56:00",52.224,-2.206,24,39
"2021-08-14 04:57:00",52.224,-2.192,24,39
"2021-08-14 04:58:00",52.224,-2.201,24,38
"2021-08-14 04:59:00",52.224,-2.222,24,38
"2021-08-14 05:00:00",52.224,-2.225,24,38
"2021-08-14 05:01:00",52.224,-2.222,24,38
"2021-08-14 05:02:00",52.192,-2.218,24,38
"2021-08-14 05:03:00",52.208,-2.212,24,38
"2021-08-14 05:04:00",52.208,-2.199,24,38
"2021-08-14 05:05:00",52.192,-2.2,24,38
"2021-08-14 05:06:00",52.208,-2.215,24,38
"2021-08-14 05:07:00",52.192,-2.209,24,38
"2021-08-14 05:08:00",52.192,-2.236,24,38
"2021-08-14 05:09:00",52.192,-2.223,24,38
"2021-08-14 05:10:00",52.176,-2.247,24,38
"2021-08-14 05:11:00",52.176,-2.201,24,37
"2021-08-14 05:12:00",52.176,-2.21,24,37
"2021-08-14 05:13:00",52.176,-2.276,24,37
"2021-08-14 05:14:00",52.192,-2.277,24,37
"2021-08-14 05:15:00",52.192,-2.208,24,37
"2021-08-14 05:16:00",52.176,-2.214,24,37
"2021-08-14 05:17:00",52.176,-2.284,24,37
"2021-08-14 05:18:00",52.16,-2.28,24,37
"2021-08-14 05:19:00",52.16,-2.269,24,37
"2021-08-14 05:20:00",52.16,-2.272,24,37
"2021-08-14 05:21:00",52.176,-2.262,24,37
"2021-08-14 05:22:00",52.176,-2.272,24,37
"2021-08-14 05:23:00",52.176,-2.281,24,37
"2021-08-14 05:24:00",52.176,-2.288,24,36
"2021-08-14 05:25:00",52.16,-2.286,24,36
"2021-08-14 05:26:00",52.16,-2.271,24,36
"2021-08-14 05:27:00",52.16,-2.278,24,36
"2021-08-14 05:28:00",52.16,-2.262,24,36
"2021-08-14 05:29:00",52.16,-2.264,24,36
"2021-08-14 05:30:00",52.16,-2.275,24,36
"2021-08-14 05:31:00",52.16,-2.279,24,36
"2021-08-14 05:32:00",52.16,-2.279,24,36
"2021-08-14 05:33:00",52.144,-2.272,24,36
"2021-08-14 05:34:00",52.144,-2.274,24,36
"2021-08-14 05:35:00",52.144,-2.248,24,36
"2021-08-14 05:36:00",52.144,-2.263,24,36
"2021-08-14 05:37:00",52.144,-2.248,24,36
"2021-08-14 05:38:00",52.144,-2.26,24,35
"2021-08-14 05:39:00",52.144,-2.226,24,35
"2021-08-14 05:40:00",52.144,-2.178,24,35
"2021-08-14 05:41:00",52.144,-2.144,24,35
"2021-08-14 05:42:00",52.144,-2.101,24,35
"2021-08-14 05:43:00",52.144,-2.081,24,35
"2021-08-14 05:44:00",52.144,-2.079,24,35
"2021-08-14 05:45:00",52.144,-2.078,24,35
"2021-08-14 05:46:00",52.144,-2.066,24,35
"2021-08-14 05:47:00",52.144,-2.034,24,35
"2021-08-14 05:48:00",52.144,-2.024,24,35
"2021-08-14 05:49:00",52.128,-1.983,24,35
"2021-08-14 05:50:00",52.128,-1.916,24,35
"2021-08-14 05:51:00",52.144,-1.914,24,34
"2021-08-14 05:52:00",52.144,-1.924,24,34
"2021-08-14 05:53:00",52.144,-1.872,24,34
"2021-08-14 05:54:00",52.144,-1.83,24,34
"2021-08-14 05:55:00",52.144,-1.754,24,34
"2021-08-14 05:56:00",52.144,-1.681,24,34
